,state,total_mean,part_rate,year,geog_location
0,Alabama,1165,0.05,2017,South
1,Alaska,1080,0.38,2017,West
2,Arizona,1116,0.3,2017,South
3,Arkansas,1208,0.03,2017,South
4,California,1055,0.53,2017,West
5,Colorado,1201,0.11,2017,West
6,Connecticut,1041,1,2017,Northeast
7,Delaware,996,1,2017,Northeast
8,District of Columbia,950,1,2017,South
9,Florida,1017,0.83,2017,South
10,Georgia,1050,0.61,2017,South
11,Hawaii,1085,0.55,2017,West
12,Idaho,1005,0.93,2017,West
13,Illinois,1115,0.09,2017,Midwest
14,Indiana,1074,0.63,2017,Midwest
15,Iowa,1275,0.02,2017,Midwest
16,Kansas,1260,0.04,2017,Midwest
17,Kentucky,1247,0.04,2017,South
18,Louisiana,1198,0.04,2017,South
19,Maine,1012,0.95,2017,Northeast
20,Maryland,1060,0.69,2017,Northeast
21,Massachusetts,1107,0.76,2017,Northeast
22,Michigan,1005,1,2017,Midwest
23,Minnesota,1295,0.03,2017,Midwest
24,Mississippi,1242,0.02,2017,South
25,Missouri,1271,0.03,2017,Midwest
26,Montana,1196,0.1,2017,West
27,Nebraska,1253,0.03,2017,Midwest
28,Nevada,1116,0.26,2017,West
29,New Hampshire,1052,0.96,2017,Northeast
30,New Jersey,1056,0.7,2017,Northeast
31,New Mexico,1138,0.11,2017,South
32,New York,1052,0.67,2017,Northeast
33,North Carolina,1081,0.49,2017,South
34,North Dakota,1256,0.02,2017,Midwest
35,Ohio,1149,0.12,2017,Midwest
36,Oklahoma,1047,0.07,2017,South
37,Oregon,1108,0.43,2017,West
38,Pennsylvania,1071,0.65,2017,Northeast
39,Rhode Island,1062,0.71,2017,Northeast
40,South Carolina,1064,0.5,2017,South
41,South Dakota,1216,0.03,2017,Midwest
42,Tennessee,1228,0.05,2017,South
43,Texas,1020,0.62,2017,South
44,Utah,1238,0.03,2017,West
45,Vermont,1114,0.6,2017,Northeast
46,Virginia,1102,0.65,2017,South
47,Washington,1075,0.64,2017,West
48,West Virginia,1086,0.14,2017,South
49,Wisconsin,1291,0.03,2017,Midwest
50,Wyoming,1230,0.03,2017,West
0,Alabama,1166,0.06,2018,South
1,Alaska,1106,0.43,2018,West
2,Arizona,1149,0.29,2018,South
3,Arkansas,1169,0.05,2018,South
4,California,1076,0.6,2018,West
5,Colorado,1025,1,2018,West
6,Connecticut,1053,1,2018,Northeast
7,Delaware,998,1,2018,Northeast
8,District of Columbia,977,0.92,2018,South
9,Florida,1099,0.56,2018,South
10,Georgia,1064,0.7,2018,South
11,Hawaii,1010,0.56,2018,West
12,Idaho,1001,1,2018,West
13,Illinois,1019,0.99,2018,Midwest
14,Indiana,1074,0.63,2018,Midwest
15,Iowa,1265,0.03,2018,Midwest
16,Kansas,1265,0.04,2018,Midwest
17,Kentucky,1248,0.04,2018,South
18,Louisiana,1210,0.04,2018,South
19,Maine,1013,0.99,2018,Northeast
20,Maryland,1080,0.76,2018,Northeast
21,Massachusetts,1125,0.8,2018,Northeast
22,Michigan,1011,1,2018,Midwest
23,Minnesota,1298,0.04,2018,Midwest
24,Mississippi,1236,0.03,2018,South
25,Missouri,1262,0.04,2018,Midwest
26,Montana,1198,0.1,2018,West
27,Nebraska,1252,0.03,2018,Midwest
28,Nevada,1140,0.23,2018,West
29,New Hampshire,1063,0.96,2018,Northeast
30,New Jersey,1094,0.82,2018,Northeast
31,New Mexico,1093,0.16,2018,South
32,New York,1068,0.79,2018,Northeast
33,North Carolina,1098,0.52,2018,South
34,North Dakota,1283,0.02,2018,Midwest
35,Oklahoma,1062,0.08,2018,South
36,Ohio,1099,0.18,2018,Midwest
37,Oregon,1117,0.48,2018,West
38,Pennsylvania,1086,0.7,2018,Northeast
39,Rhode Island,1018,0.97,2018,Northeast
40,South Carolina,1070,0.55,2018,South
41,South Dakota,1240,0.03,2018,Midwest
42,Tennessee,1231,0.06,2018,South
43,Texas,1032,0.66,2018,South
44,Utah,1010,0.04,2018,West
45,Vermont,1120,0.64,2018,Northeast
46,Virginia,1117,0.68,2018,South
47,Washington,1081,0.69,2018,West
48,West Virginia,999,0.28,2018,South
49,Wisconsin,1294,0.03,2018,Midwest
50,Wyoming,1257,0.03,2018,West
0,Alabama,1143,0.07,2019,South
1,Alaska,1097,0.41,2019,West
2,Arizona,1134,0.31,2019,South
3,Arkansas,1141,0.06,2019,South
4,California,1065,0.63,2019,West
5,Colorado,1024,1,2019,West
6,Connecticut,1046,1,2019,Northeast
7,Delaware,985,1,2019,Northeast
8,District of Columbia,975,0.94,2019,South
9,Florida,999,1,2019,South
10,Georgia,1058,0.71,2019,South
11,Hawaii,1100,0.54,2019,West
12,Idaho,993,1,2019,West
13,Illinois,1013,1,2019,Midwest
14,Indiana,1080,0.66,2019,Midwest
15,Iowa,1244,0.03,2019,Midwest
16,Kansas,1241,0.04,2019,Midwest
17,Kentucky,1232,0.04,2019,South
18,Louisiana,1200,0.05,2019,South
19,Maine,1013,0.99,2019,Northeast
20,Maryland,1058,0.82,2019,Northeast
21,Massachusetts,1120,0.81,2019,Northeast
22,Michigan,1003,1,2019,Midwest
23,Minnesota,1284,0.04,2019,Midwest
24,Mississippi,1237,0.03,2019,South
25,Missouri,1236,0.04,2019,Midwest
26,Montana,1199,0.09,2019,West
27,Nebraska,1260,0.03,2019,Midwest
28,Nevada,1156,0.2,2019,West
29,New Hampshire,1059,0.95,2019,Northeast
30,New Jersey,1090,0.82,2019,Northeast
31,New Mexico,1073,0.18,2019,South
32,New York,1064,0.79,2019,Northeast
33,North Carolina,1100,0.51,2019,South
34,North Dakota,1263,0.02,2019,Midwest
35,Ohio,1097,0.19,2019,Midwest
36,Oklahoma,963,0.22,2019,South
37,Oregon,1112,0.51,2019,West
38,Pennsylvania,1082,0.7,2019,Northeast
40,Rhode Island,995,1,2019,Northeast
41,South Carolina,1030,0.68,2019,South
42,South Dakota,1268,0.03,2019,Midwest
43,Tennessee,1220,0.07,2019,South
44,Texas,1022,0.68,2019,South
45,Utah,1230,0.04,2019,West
46,Vermont,1106,0.66,2019,Northeast
48,Virginia,1119,0.68,2019,South
49,Washington,1074,0.7,2019,West
50,West Virginia,943,0.99,2019,South
51,Wisconsin,1283,0.03,2019,Midwest
52,Wyoming,1238,0.03,2019,West
